,rank,title,studio,lifetime_gross,theaters,opening,theaters,release_date,genre
5497,33,Wide Awake,Mira.,"$282,175",43,"$95,875",29,3/20/98,boardingschool
5498,34,Little Men,Leg.,"$104,255",111,"$77,924",111,5/8/98,boardingschool
5499,35,Small Voices,Sml.Isld,"$69,739",6,"$15,166",6,10/10/03,boardingschool
5500,36,Zombie High,PEC,"$21,905",25,"$12,165",25,10/2/87,boardingschool
5501,37,December,IRS,"$5,868",2,"$4,529",2,12/6/91,boardingschool
5502,38,Eden (1998),Leg.,"$4,210",1,"$1,564",1,3/27/98,boardingschool
5503,NaN,Pitch Perfect 2,Uni.,"$184,296,230","3,660","$69,216,890","3,473",5/15/15,musiccomedy
5504,2,School of Rock,Par.,"$81,261,177","2,951","$19,622,714","2,614",10/3/03,musiccomedy
5505,3,Pitch Perfect,Uni.,"$65,001,093","2,787","$5,149,433",335,9/28/12,musiccomedy
5506,4,Get Him to the Greek,Uni.,"$60,974,475","2,702","$17,570,955","2,697",6/4/10,musiccomedy
5507,5,Be Cool,MGM,"$56,046,979","3,216","$23,450,212","3,216",3/4/05,musiccomedy
5508,6,Music and Lyrics,WB,"$50,572,589","2,955","$13,623,630","2,955",2/14/07,musiccomedy
5509,7,Rhinestone,Fox,"$21,435,321","1,630","$5,459,726","1,630",6/22/84,musiccomedy
5510,8,Walk Hard: The Dewey Cox Story,Sony,"$18,317,151","2,650","$4,174,383","2,650",12/21/07,musiccomedy
5511,9,CB4,Uni.,"$17,953,778","1,226","$6,122,450","1,204",3/12/93,musiccomedy
5512,10,A Mighty Wind,WB,"$17,781,006",770,"$2,112,140",133,4/16/03,musiccomedy
5513,11,Josie and the Pussycats,Uni.,"$14,271,015","2,558","$4,562,455","2,556",4/11/01,musiccomedy
5514,12,Blues Brothers 2000,Uni.,"$14,051,384","2,516","$6,129,615","2,507",2/6/98,musiccomedy
5515,13,Soul Men,MGM/W,"$12,082,391","2,048","$5,401,605","2,044",11/7/08,musiccomedy
5516,14,Tenacious D in: The Pick of Destiny,NL,"$8,334,575","1,919","$3,234,879","1,919",11/22/06,musiccomedy
5517,15,The Rocker,Fox,"$6,409,528","2,784","$2,636,048","2,784",8/20/08,musiccomedy
5518,16,Airheads,Fox,"$5,751,882","1,229","$1,911,739","1,228",8/5/94,musiccomedy
5519,17,Bandslam,Sum.,"$5,210,988","2,121","$2,231,273","2,121",8/14/09,musiccomedy
5520,18,This Is Spinal Tap,Emb,"$4,736,202",206,"$30,835",3,3/2/84,musiccomedy
5521,19,Detroit Rock City,NL,"$4,217,115","1,802","$2,005,512","1,802",8/13/99,musiccomedy
5522,20,Fear of a Black Hat,IDP,"$233,824",5,"$15,191",5,6/3/94,musiccomedy
5523,21,One Chance,Wein.,"$101,196",43,"$33,405",43,10/10/14,musiccomedy
5524,22,Death of a Dynasty,TLA,"$42,108",16,"$28,107",16,4/29/05,musiccomedy
5525,23,Garage Days,FoxS,"$32,500",23,"$20,600",23,7/18/03,musiccomedy
5526,24,The History of Future Folk,Vari.,"$17,646",2,"$5,775",1,5/31/13,musiccomedy
5527,25,Adventures of Power,Vari.,"$17,419",3,"$4,254",2,10/9/09,musiccomedy
5528,26,Brooklyn Brothers Beat the Best,Osci.,"$7,466",3,"$3,850",1,9/21/12,musiccomedy
5529,NaN,I Am Legend,WB,"$256,393,010","3,648","$77,211,321","3,606",12/14/07,scifiremake
5530,2,War of the Worlds,Par.,"$234,280,354","3,910","$64,878,725","3,908",6/29/05,scifiremake
5531,3,Godzilla (2014),WB,"$200,676,069","3,952","$93,188,384","3,952",5/16/14,scifiremake
5532,4,Planet of the Apes (2001),Fox,"$180,011,740","3,530","$68,532,960","3,500",7/27/01,scifiremake
5533,5,Godzilla,Sony,"$136,314,294","3,310","$44,047,541","3,310",5/20/98,scifiremake
5534,6,The Nutty Professor (1996),Uni.,"$128,814,019","2,239","$25,411,725","2,115",6/28/96,scifiremake
5535,7,Vanilla Sky,Par.,"$100,618,344","2,842","$25,015,518","2,742",12/14/01,scifiremake
5536,8,The Day the Earth Stood Still (2008),Fox,"$79,366,978","3,560","$30,480,153","3,560",12/12/08,scifiremake
5537,9,Total Recall (2012),Sony,"$58,877,969","3,601","$25,577,758","3,601",8/3/12,scifiremake
5538,10,RoboCop (2014),Sony,"$58,607,007","3,372","$21,681,430","3,372",2/12/14,scifiremake
5539,11,12 Monkeys,Uni.,"$57,141,459","1,629","$184,776",3,12/29/95,scifiremake
5540,12,The Time Machine,DW,"$56,832,494","2,958","$22,610,437","2,944",3/8/02,scifiremake
5541,13,The Fly,Fox,"$40,456,565","1,201","$7,007,423","1,195",8/15/86,scifiremake
5542,14,Flash Gordon,Uni.,"$27,107,960",-,"$3,934,030",823,12/5/80,scifiremake
5543,15,Invasion of the Body Snatchers,UA,"$24,946,533",445,"$1,298,129",445,12/22/78,scifiremake
5544,16,The Thing (1982),Uni.,"$19,629,760",910,"$3,107,897",840,6/25/82,scifiremake
5545,17,Rollerball,MGM,"$18,990,798","2,762","$9,013,548","2,762",2/8/02,scifiremake
5546,18,The Thing (2011),Uni.,"$16,928,670","2,996","$8,493,665","2,996",10/14/11,scifiremake
5547,19,The Invasion,WB,"$15,074,191","2,776","$5,951,409","2,776",8/17/07,scifiremake
5548,20,Solaris,Fox,"$14,973,382","2,406","$6,752,722","2,406",11/27/02,scifiremake
5549,21,Dredd,LGF,"$13,414,714","2,557","$6,278,491","2,506",9/21/12,scifiremake
5550,22,Village of the Damned,Uni.,"$9,418,365","1,919","$3,222,450","1,890",4/28/95,scifiremake
5551,23,1984,Gold.,"$8,430,492",295,"$29,897",1,12/14/84,scifiremake
5552,24,The Blob,TriS,"$8,247,943","1,081","$2,644,920","1,081",8/5/88,scifiremake
5553,25,Invaders From Mars,Can.,"$4,884,663","1,212","$2,046,576","1,212",6/6/86,scifiremake
5554,26,Body Snatchers,WB,"$428,868",34,"$31,494",13,1/14/94,scifiremake
5555,NaN,Freaky Friday,BV,"$110,230,332","3,067","$22,203,007","2,954",8/6/03,summergirlpower
5556,2,The Princess Diaries,BV,"$108,248,956","2,749","$22,862,269","2,537",8/3/01,summergirlpower
5557,3,Legally Blonde,MGM,"$96,520,674","2,725","$20,377,426","2,620",7/13/01,summergirlpower
5558,4,The Princess Diaries 2: Royal Engagement,BV,"$95,170,481","3,490","$22,956,453","3,472",8/11/04,summergirlpower
5559,5,"Legally Blonde 2: Red, White and Blonde",MGM,"$90,186,328","3,375","$22,220,670","3,350",7/2/03,summergirlpower
5560,6,Bring It On,Uni.,"$68,379,000","2,466","$17,362,105","2,380",8/25/00,summergirlpower
5561,7,The Parent Trap,BV,"$66,308,518","2,407","$11,148,497","2,247",7/31/98,summergirlpower
5562,8,Ever After: A Cinderella Story,Fox,"$65,705,771","2,067","$8,526,904","1,767",7/31/98,summergirlpower
5563,9,Step Up,BV,"$65,328,121","2,647","$20,659,573","2,467",8/11/06,summergirlpower
5564,10,Coyote Ugly,BV,"$60,786,269","2,664","$17,319,282","2,653",8/4/00,summergirlpower
5565,11,Clueless,Par.,"$56,631,572","1,922","$10,612,443","1,653",7/21/95,summergirlpower
5566,12,A Cinderella Story,WB,"$51,438,175","2,625","$13,623,350","2,625",7/16/04,summergirlpower
5567,13,The Sisterhood of the Traveling Pants 2,WB,"$44,089,964","2,714","$10,678,430","2,707",8/6/08,summergirlpower
5568,14,John Tucker Must Die,Fox,"$41,011,711","2,566","$14,276,534","2,560",7/28/06,summergirlpower
5569,15,Blue Crush,Uni.,"$40,390,647","3,015","$14,169,455","3,002",8/16/02,summergirlpower
5570,16,Uptown Girls,MGM,"$37,182,494","2,495","$11,277,367","2,495",8/15/03,summergirlpower
5571,17,Adventures in Babysitting,BV,"$34,368,475","1,148","$2,901,297","1,126",7/3/87,summergirlpower
5572,18,Monte Carlo,Fox,"$23,186,769","2,473","$7,453,944","2,473",7/1/11,summergirlpower
5573,19,Buffy the Vampire Slayer,Fox,"$16,624,456","1,981","$4,515,541","1,959",7/31/92,summergirlpower
5574,20,Excess Baggage,Sony,"$14,515,490","2,211","$6,309,583","2,211",8/29/97,summergirlpower
5575,21,How to Deal,NL,"$14,195,227","2,319","$5,809,960","2,319",7/18/03,summergirlpower
5576,22,Material Girls,MGM,"$11,449,638","1,509","$4,603,121","1,509",8/18/06,summergirlpower
5577,23,Drop Dead Gorgeous,NL,"$10,571,408","1,207","$3,986,269","1,207",7/23/99,summergirlpower
5578,24,BRATZ,LGF,"$10,010,209","1,509","$4,208,455","1,509",8/3/07,summergirlpower
5579,25,Sleepover,MGM,"$9,436,390","2,207","$4,171,226","2,207",7/9/04,summergirlpower
5580,26,Shag: The Movie,Hemd,"$6,957,975",850,"$2,029,496",850,7/21/89,summergirlpower
5581,27,Dick,Sony,"$6,262,878","1,522","$2,210,267","1,522",8/3/99,summergirlpower
5582,28,Undiscovered,Lions,"$1,069,318","1,304","$676,048","1,304",8/26/05,summergirlpower
5583,NaN,Fatal Attraction,Par.,"$156,645,693","1,401","$7,602,740",758,9/18/87,psychothriller
5584,2,Sleeping with the Enemy,Fox,"$101,599,005","1,545","$13,777,943","1,406",2/8/91,psychothriller
5585,3,The Hand That Rocks the Cradle,BV,"$88,036,683","1,759","$7,675,016",766,1/10/92,psychothriller
5586,4,Disclosure,WB,"$83,015,089","2,168","$10,068,126","1,675",12/9/94,psychothriller
5587,5,Cape Fear,Uni.,"$79,091,969","1,707","$10,261,025",924,11/15/91,psychothriller
5588,6,Obsessed,SGem,"$68,261,644","2,634","$28,612,730","2,514",4/24/09,psychothriller
5589,7,Unlawful Entry,Fox,"$57,138,719","1,530","$10,067,609","1,511",6/26/92,psychothriller
5590,8,Single White Female,Col.,"$48,017,402","1,744","$10,212,401","1,744",8/14/92,psychothriller
5591,9,Domestic Disturbance,Par.,"$45,246,095","2,910","$14,033,112","2,910",11/2/01,psychothriller
5592,10,Enough,Sony,"$40,007,742","2,623","$14,009,653","2,623",5/24/02,psychothriller
5593,11,Lakeview Terrace,SGem,"$39,263,506","2,574","$15,004,672","2,464",9/19/08,psychothriller
5594,12,The Roommate,SGem,"$37,300,107","2,534","$15,002,635","2,534",2/4/11,psychothriller
5595,13,Sliver,Par.,"$36,300,000","2,093","$12,138,283","2,093",5/21/93,psychothriller
5596,14,The Boy Next Door,Uni.,"$35,423,380","2,615","$14,910,105","2,602",1/23/15,psychothriller
5597,15,One Hour Photo,FoxS,"$31,597,131","1,332","$321,515",7,8/21/02,psychothriller
5598,16,Pacific Heights,Fox,"$29,381,956","1,291","$6,912,637","1,278",9/28/90,psychothriller
5599,17,The Stepfather (2009),SGem,"$29,062,561","2,734","$11,581,586","2,734",10/16/09,psychothriller
5600,18,SwimFan,Fox,"$28,564,995","2,860","$11,326,601","2,856",9/6/02,psychothriller
5601,19,Perfect Stranger,SonR,"$23,984,949","2,661","$11,206,163","2,661",4/13/07,psychothriller
5602,20,The Juror,Sony,"$22,754,725","2,205","$8,411,178","2,205",2/2/96,psychothriller
5603,21,Fear,Uni.,"$20,831,000","1,615","$6,312,240","1,584",4/12/96,psychothriller
5604,22,The Fan,Sony,"$18,626,419","2,016","$6,271,406","2,016",8/16/96,psychothriller
5605,23,Paparazzi,Fox,"$15,714,234","2,153","$6,146,262","2,115",9/3/04,psychothriller
5606,24,Flowers in the Attic,NW,"$15,151,736","1,095","$5,020,317","1,051",11/20/87,psychothriller
5607,25,The Crush,WB,"$13,609,396","1,759","$5,024,976","1,759",4/2/93,psychothriller
5608,26,Hush,Sony,"$13,583,690","1,966","$5,742,431","1,966",3/6/98,psychothriller
5609,27,Wicker Park,MGM,"$13,001,257","2,598","$5,467,281","2,598",9/3/04,psychothriller
5610,28,Blue Steel,MGM,"$8,217,997","1,307","$2,895,744","1,307",3/16/90,psychothriller
5611,29,The Temp,Par.,"$6,419,876","1,438","$2,877,744","1,438",2/12/93,psychothriller
5612,30,P2,Sum.,"$3,995,018","2,131","$2,083,398","2,131",11/9/07,psychothriller
5613,31,The Stepfather,NCeV,"$2,488,740",148,"$260,587",105,1/23/87,psychothriller
5614,32,Stepfather 2,Mira.,"$1,519,796",-,n/a,-,11/3/89,psychothriller
5615,33,Maniac Cop,SGE,"$671,382",50,"$188,348",50,5/13/88,psychothriller
5616,34,Dream Lover,MGM,"$502,237",171,"$202,733",171,2/21/86,psychothriller
5617,35,Enduring Love,ParC,"$358,362",56,"$34,610",5,10/29/04,psychothriller
5618,36,Stephen King's Riding the Bullet,Inn.,"$134,711",108,"$101,107",100,10/15/04,psychothriller
5619,37,Evil Remains,Scre.,"$8,747",4,"$5,499",4,10/22/04,psychothriller
5620,38,Freeze Frame,First,"$1,100",1,"$1,100",1,12/10/04,psychothriller
5621,NaN,Sleepless in Seattle,TriS,"$126,680,884","1,657","$17,253,733","1,579",6/25/93,newyears
5622,2,When Harry Met Sally...,Col.,"$92,823,546","1,174","$1,094,453",41,7/14/89,newyears
5623,3,Trading Places,Par.,"$90,404,800","1,389","$7,348,200","1,375",6/10/83,newyears
5624,4,Entrapment,Fox,"$87,704,396","2,879","$20,145,595","2,814",4/30/99,newyears
5625,5,While You Were Sleeping,BV,"$81,057,016","2,086","$9,288,915","1,421",4/21/95,newyears
5626,6,Bridget Jones's Diary,Mira.,"$71,543,427","2,547","$10,733,933","1,611",4/13/01,newyears
5627,7,End of Days,Uni.,"$66,889,043","2,652","$20,523,595","2,593",11/24/99,newyears
5628,8,New Year's Eve,WB (NL),"$54,544,638","3,505","$13,019,180","3,505",12/9/11,newyears
5629,9,Strange Days,Fox,"$7,959,291","1,691","$31,062",1,10/6/95,newyears
5630,10,200 Cigarettes,Par.,"$6,852,450",978,"$3,244,277",976,2/26/99,newyears
5631,11,Gridlock'd,Gram.,"$5,571,205",743,"$2,678,372",743,1/31/97,newyears
5632,12,The January Man,MGM,"$4,611,062",883,"$1,716,442",876,1/13/89,newyears
5633,13,Four Rooms,Mira.,"$4,257,354",319,"$427,733",280,12/22/95,newyears
5634,14,Better Luck Tomorrow,Par.,"$3,802,390",387,"$360,772",13,4/11/03,newyears
5635,15,The Hudsucker Proxy,WB,"$2,816,518",126,"$104,490",5,3/11/94,newyears
5636,16,Hav Plenty,Mira.,"$2,284,034",413,"$1,102,036",413,6/19/98,newyears
5637,17,The White Balloon,Oct.,"$924,940",-,n/a,-,1/24/96,newyears
5638,18,P.S. Your Cat is Dead,TLA,"$28,454",7,"$9,424",5,1/17/03,newyears
5639,19,A Long Way Down,Magn.,"$13,347",5,"$1,426",1,7/11/14,newyears
5640,20,The Book of Life,Wells,"$9,740",1,"$2,814",1,3/19/99,newyears
5641,NaN,Tin Cup,WB,"$53,854,588","2,102","$10,128,834","2,012",8/16/96,golf
5642,2,Caddyshack,WB,"$39,846,344",-,"$3,142,689",656,7/25/80,golf
5643,3,Happy Gilmore,Uni.,"$38,824,099","2,069","$8,514,125","2,022",2/16/96,golf
5644,4,The Legend of Bagger Vance,DW,"$30,919,168","2,162","$11,516,712","2,061",11/3/00,golf
5645,5,The Greatest Game Ever Played,BV,"$15,337,393","1,810","$3,657,322","1,014",9/30/05,golf
5646,6,Caddyshack II,WB,"$11,798,302","1,556","$4,436,330","1,556",7/22/88,golf
5647,7,Who's Your Caddy?,MGM/W,"$5,713,425","1,019","$2,756,661","1,019",7/27/07,golf
5648,8,Seven Days in Utopia,Visio,"$4,373,074",561,"$1,316,910",561,9/2/11,golf
5649,9,Bobby Jones: Stroke of Genius,FFn.,"$2,694,071","1,332","$1,233,297","1,332",4/30/04,golf
5650,10,The Short Game,Gold.,"$39,819",20,"$28,434",17,9/20/13,golf
5651,-,From the Rough,Free,n/a,-,n/a,-,4/25/14,golf
5652,NaN,The Jungle Book (2016),BV,"$359,910,883","4,144","$103,261,464","4,028",4/15/16,familyremake
5653,2,Charlie and the Chocolate Factory,WB,"$206,459,076","3,790","$56,178,450","3,770",7/15/05,familyremake
5654,3,The Karate Kid,Sony,"$176,591,618","3,740","$55,665,805","3,663",6/11/10,familyremake
5655,4,Doctor Dolittle,Fox,"$144,156,605","2,871","$29,014,324","2,777",6/26/98,familyremake
5656,5,Cheaper by the Dozen,Fox,"$138,614,544","3,307","$27,557,647","3,298",12/25/03,familyremake
5657,6,101 Dalmatians (1996),BV,"$136,189,294","2,901","$33,504,025","2,794",11/27/96,familyremake
5658,7,Freaky Friday,BV,"$110,230,332","3,067","$22,203,007","2,954",8/6/03,familyremake
5659,8,Flubber(Absent-Minded Professor),BV,"$92,977,226","2,679","$26,725,207","2,641",11/26/97,familyremake
5660,9,Annie (2014),Sony,"$85,911,262","3,197","$15,861,939","3,116",12/19/14,familyremake
5661,10,The Pink Panther (2006),Sony,"$82,226,474","3,477","$20,220,412","3,477",2/10/06,familyremake
5662,11,Race to Witch Mountain,BV,"$67,172,594","3,268","$24,402,214","3,187",3/13/09,familyremake
5663,12,The Parent Trap,BV,"$66,308,518","2,407","$11,148,497","2,247",7/31/98,familyremake
5664,13,Herbie: Fully Loaded(The Love Bug),BV,"$66,023,816","3,521","$12,709,221","3,521",6/22/05,familyremake
5665,14,The Shaggy Dog,BV,"$61,123,569","3,501","$16,310,058","3,501",3/10/06,familyremake
5666,15,"Jungle 2 Jungle(Little Indian, Big City)",BV,"$59,927,618","2,340","$12,812,047","2,316",3/7/97,familyremake
5667,16,"Yours, Mine and Ours",Par.,"$53,412,862","3,210","$17,461,108","3,206",11/23/05,familyremake
5668,17,Mighty Joe Young,BV,"$50,632,037","2,559","$10,602,042","2,502",12/25/98,familyremake
5669,18,Angels in the Outfield (1994),BV,"$50,236,831","1,921","$8,916,463","1,894",7/15/94,familyremake
5670,19,Are We Done Yet?(Mr. Blandings Builds His Dream House),SonR,"$49,662,533","2,944","$14,262,724","2,877",4/4/07,familyremake
5671,20,The Jungle Book (1994),BV,"$43,229,904","2,012","$5,129,959","1,880",12/25/94,familyremake
5672,21,Homeward Bound: The Incredible Journey(The Incredible Journey),BV,"$41,833,324","1,798","$60,672",2,2/5/93,familyremake
5673,22,What a Girl Wants(Reluctant Debutante),WB,"$36,105,433","2,964","$11,434,964","2,964",4/4/03,familyremake
5674,23,Around the World in 80 Days,BV,"$24,008,137","2,801","$7,576,132","2,801",6/16/04,familyremake
5675,24,Flicka(My Friend Flicka),Fox,"$21,000,147","2,877","$7,703,551","2,877",10/20/06,familyremake
5676,25,Flipper,Uni.,"$20,080,020","2,419","$4,209,525","2,385",5/17/96,familyremake
5677,26,Tuck Everlasting,BV,"$19,161,999","1,460","$5,268,764","1,185",10/11/02,familyremake
5678,27,That Darn Cat,BV,"$18,301,610","1,891","$6,424,617","1,891",2/14/97,familyremake
5679,28,Miracle on 34th Street (1994),Fox,"$17,320,136","1,255","$2,753,208","1,190",11/18/94,familyremake
5680,29,Vice Versa,Col.,"$13,664,060","1,225","$4,050,779","1,225",3/11/88,familyremake
5681,30,Lassie,Par.,"$9,979,683","1,785","$3,201,843","1,785",7/22/94,familyremake
5682,31,Little Miss Marker,Uni.,"$6,321,392",-,"$853,173",472,3/21/80,familyremake
5683,32,A Dog of Flanders,WB,"$2,165,637","1,267","$807,873","1,267",8/27/99,familyremake
5684,NaN,Atlantis: The Lost Empire,BV,"$84,056,472","3,071","$329,011",2,6/8/01,explorer
5685,2,Stargate,MGM,"$71,567,262","2,033","$16,651,018","2,033",10/28/94,explorer
5686,3,Mission to Mars,BV,"$60,883,407","3,101","$22,855,247","3,054",3/10/00,explorer
5687,4,The Road to El Dorado,DW,"$50,863,742","3,223","$12,846,652","3,218",3/31/00,explorer
5688,5,2010,MGM,"$40,400,657","1,213","$7,393,361","1,126",12/7/84,explorer
5689,6,Around the World in 80 Days,BV,"$24,008,137","2,801","$7,576,132","2,801",6/16/04,explorer
5690,7,Ghosts of the Abyss (IMAX & 35mm),BV,"$17,040,871",97,"$1,408,474",97,4/11/03,explorer
5691,8,Shackleton's Antarctic Adventure (IMAX),WGB.,"$15,553,324",26,"$132,548",4,2/10/01,explorer
5692,9,King Solomon's Mines,Can.,"$15,057,465","1,122","$5,005,788","1,122",11/22/85,explorer
5693,10,Christopher Columbus: The Discovery,WB,"$8,251,071","1,512","$3,101,563","1,506",8/21/92,explorer
5694,11,The Adventures of Baron Munchausen,Col.,"$8,083,123",120,"$597,400",46,3/10/89,explorer
5695,12,1492: Conquest of Paradise,Par.,"$7,191,399","1,008","$3,002,680","1,008",10/9/92,explorer
5696,13,Almost Heroes,WB,"$6,136,856","2,048","$2,837,928","2,048",5/29/98,explorer
5697,14,Mountains of the Moon,TriS,"$4,011,793",187,"$66,683",2,2/23/90,explorer
5698,15,Allan Quatermain and the Lost City of Gold,Can.,"$3,751,699","1,000","$1,960,352","1,000",1/30/87,explorer
5699,16,K2,Par.,"$3,106,559",350,"$930,655",350,5/1/92,explorer
5700,17,The Endurance: Shackleton's Antarctic Adventure,Cow.,"$2,453,083",40,"$18,931",3,10/5/01,explorer
5701,18,Erik the Viking,Orion,"$1,932,642",269,"$68,543",22,9/22/89,explorer
5702,NaN,Independence Day,Fox,"$306,169,268","2,977","$50,228,264","2,882",7/3/96,president
5703,2,Lincoln,BV,"$182,207,973","2,293","$944,308",11,11/9/12,president
5704,3,Air Force One,Sony,"$172,956,409","2,981","$37,132,505","2,919",7/25/97,president
5705,4,Fahrenheit 9/11,Lions,"$119,194,771","2,011","$23,920,637",868,6/23/04,president
5706,5,Lee Daniels' The Butler,Wein.,"$116,632,095","3,330","$24,637,312","2,933",8/16/13,president
5707,6,Olympus Has Fallen,FD,"$98,925,640","3,106","$30,373,794","3,098",3/22/13,president
5708,7,White House Down,Sony,"$73,103,784","3,222","$24,852,258","3,222",6/28/13,president
5709,8,Vantage Point,Sony,"$72,266,306","3,163","$22,874,936","3,149",2/22/08,president
5710,9,JFK,WB,"$70,405,498","1,395","$5,223,658","1,164",12/20/91,president
5711,10,Dave,WB,"$63,270,710","1,916","$7,306,755","1,155",5/7/93,president
5712,11,The American President,Sony,"$60,079,496","1,508","$10,014,558","1,508",11/17/95,president
5713,12,Selma,Par.,"$52,076,908","2,235","$571,450",19,12/25/14,president
5714,13,Absolute Power,Sony,"$50,068,310","2,568","$14,678,016","2,568",2/14/97,president
5715,14,Mars Attacks!,WB,"$37,771,017","1,955","$9,384,272","1,955",12/13/96,president
5716,15,Abraham Lincoln: Vampire Hunter,Fox,"$37,519,139","3,109","$16,306,974","3,108",6/22/12,president
5717,16,Man of the Year,Uni.,"$37,327,390","2,626","$12,299,380","2,515",10/13/06,president
5718,17,Thirteen Days,NL,"$34,592,089","2,034","$46,668",8,12/22/00,president
5719,18,W.,LGF,"$25,534,493","2,050","$10,505,668","2,030",10/17/08,president
5720,19,My Fellow Americans,WB,"$22,313,201","1,915","$2,860,334","1,915",12/20/96,president
5721,20,Frost/Nixon,Uni.,"$18,622,031","1,105","$180,708",3,12/5/08,president
5722,21,The Contender,DW,"$17,872,723","1,639","$5,363,900","1,516",10/13/00,president
5723,22,First Family,WB,"$15,198,912",-,"$3,635,564",563,12/25/80,president
5724,23,Welcome to Mooseport,Fox,"$14,470,947","2,868","$6,775,132","2,868",2/20/04,president
5725,24,Nixon,BV,"$13,681,765",977,"$2,206,506",514,12/22/95,president
5726,25,Chasing Liberty,WB,"$12,195,626","2,400","$6,081,483","2,400",1/9/04,president
5727,26,First Daughter,Fox,"$9,055,921","2,280","$4,002,067","2,260",9/24/04,president
5728,27,American Dreamz,Uni.,"$7,191,830","1,500","$3,667,420","1,500",4/21/06,president
5729,28,Hyde Park on Hudson,Focus,"$6,376,145",246,"$81,362",4,12/7/12,president
5730,29,Dick,Sony,"$6,262,878","1,522","$2,210,267","1,522",8/3/99,president
5731,30,Elvis & Nixon,BST,"$1,055,287",381,"$466,447",381,4/22/16,president
5732,31,Parkland,EXCL,"$653,651",257,"$310,246",257,10/4/13,president
5733,32,The Hunting of the President,Reg.,"$376,612",20,"$23,298",2,6/18/04,president
5734,33,Uncovered: The War on Iraq,Libre,"$238,924",22,"$31,481",7,8/20/04,president
5735,34,Bush's Brain,Tar.,"$177,525",9,"$11,927",4,8/20/04,president
5736,35,Deterrence,ParC,"$145,071",17,"$23,318",7,3/10/00,president
5737,36,In the Face of Evil: Reagan's War in Word and Deed,NFF,"$110,577",15,"$46,975",6,10/1/04,president
5738,37,An American Affair,Scre.,"$28,044",2,"$11,700",2,2/27/09,president
5739,38,Our Nixon,Cdgm.,"$20,584",5,"$6,090",3,8/30/13,president
5740,NaN,Straight Outta Compton,Uni.,"$161,197,785","3,142","$60,200,180","2,757",8/14/15,rap
5741,2,8 Mile,Uni.,"$116,750,901","2,585","$51,240,555","2,470",11/8/02,rap
5742,3,Notorious (2009),FoxS,"$36,843,682","1,641","$20,497,596","1,638",1/16/09,rap
5743,4,Malibu's Most Wanted,WB,"$34,432,201","2,503","$12,618,159","2,503",4/18/03,rap
5744,5,Get Rich or Die Tryin',Par.,"$30,985,352","1,666","$12,020,807","1,652",11/9/05,rap
5745,6,Brown Sugar,FoxS,"$27,363,891","1,378","$10,738,882","1,372",10/11/02,rap
5746,7,Bulworth,Fox,"$26,528,185","2,051","$141,816",2,5/15/98,rap
5747,8,House Party,NL,"$26,385,627",700,"$4,611,024",520,3/9/90,rap
5748,9,Hustle and Flow,ParC,"$22,202,809","1,016","$8,017,808","1,013",7/22/05,rap
5749,10,House Party 2,NL,"$19,438,638","1,185","$6,027,105","1,165",10/25/91,rap
5750,11,House Party 3,NL,"$19,281,235",855,"$6,850,010",848,1/14/94,rap
5751,12,CB4,Uni.,"$17,953,778","1,226","$6,122,450","1,204",3/12/93,rap
5752,13,Beat Street,Orion,"$16,595,791","1,380","$5,218,040","1,380",6/8/84,rap
5753,14,Spring Breakers,A24,"$14,124,284","1,379","$263,002",3,3/15/13,rap
5754,15,Idlewild,Uni.,"$12,571,185",975,"$5,745,780",973,8/25/06,rap
5755,16,Who's the Man?,NL,"$11,299,730",954,"$4,533,392",954,4/23/93,rap
5756,17,Krush Groove,WB,"$11,052,713",519,"$2,905,293",519,10/25/85,rap
5757,18,Tupac: Resurrection,Par.,"$7,718,961",804,"$4,632,847",801,11/14/03,rap
5758,19,Ride,Mira.,"$5,485,295",509,"$2,513,334",496,3/27/98,rap
5759,20,Black and White,Sony,"$5,277,299","1,284","$2,212,535","1,284",4/7/00,rap
5760,21,Tougher Than Leather,NL,"$3,582,760",130,"$748,193",130,9/16/88,rap
5761,22,Rappin',Can.,"$2,864,844","1,150","$1,802,204","1,150",5/10/85,rap
5762,23,The Show,Sav.,"$2,702,578",336,"$1,482,892",336,8/25/95,rap
5763,24,Marci X,Par.,"$1,648,818","1,200","$872,950","1,200",8/22/03,rap
5764,25,Rhyme & Reason,Mira.,"$1,608,277",280,"$853,589",280,3/7/97,rap
5765,26,Turn It Up,NL,"$1,247,949",661,"$576,820",661,9/8/00,rap
5766,27,Cool as Ice,Uni.,"$1,193,062",393,"$638,625",393,10/18/91,rap
5767,28,Fade to Black,ParC,"$728,921",170,"$449,331",170,11/5/04,rap
5768,29,Knights of the City,NW,"$601,451",-,n/a,-,2/14/86,rap
5769,30,Scratch,Palm,"$289,885",7,"$29,677",5,2/15/02,rap
5770,31,Something From Nothing: The Art of Rap,IM,"$288,312",157,"$150,337",157,6/15/12,rap
5771,32,Fear of a Black Hat,IDP,"$233,824",5,"$15,191",5,6/3/94,rap
5772,33,Biggie and Tupac,Roxie,"$94,874",6,"$5,728",1,9/20/02,rap
5773,34,Death of a Dynasty,TLA,"$42,108",16,"$28,107",16,4/29/05,rap
5774,35,Whiteboyz,FoxS,"$38,738",17,"$23,149",17,9/10/99,rap
5775,36,Rock the Bells,7Art,"$5,347",1,"$1,325",1,4/11/07,rap
5776,NaN,Rocky IV,UA,"$127,873,716","2,254","$19,991,537","1,325",11/27/85,boxing
