,date	close
329,2015-04-24	57.15
330,2015-04-23	57.74
331,2015-04-22	56.16
332,2015-04-21	55.5
333,2015-04-20	56.38
334,2015-04-17	55.74
335,2015-04-16	56.71
336,2015-04-15	56.39
337,2015-04-14	53.45
338,2015-04-13	51.91
339,2015-04-10	51.64
340,2015-04-09	50.79
341,2015-04-08	50.42
342,2015-04-07	53.98
343,2015-04-06	52.14
344,2015-04-02	49.14
345,2015-04-01	50.09
346,2015-03-31	47.6
347,2015-03-30	48.68
348,2015-03-27	48.87
349,2015-03-26	51.43
350,2015-03-25	49.21
351,2015-03-24	47.51
352,2015-03-23	47.45
353,2015-03-20	45.85
354,2015-03-19	43.96
355,2015-03-18	44.66
356,2015-03-17	43.46
357,2015-03-16	43.88
358,2015-03-13	44.84
359,2015-03-12	47.05
360,2015-03-11	48.17
361,2015-03-10	48.29
362,2015-03-09	50
363,2015-03-06	49.61
364,2015-03-05	50.76
365,2015-03-04	51.53
366,2015-03-03	50.52
367,2015-03-02	49.59
368,2015-02-27	49.76
369,2015-02-26	48.17
370,2015-02-25	50.99
371,2015-02-24	49.28
372,2015-02-23	49.45
373,2015-02-20	50.25
374,2015-02-19	51.16
375,2015-02-18	52.14
376,2015-02-17	53.53
377,2015-02-13	52.78
378,2015-02-12	51.21
379,2015-02-11	48.84
380,2015-02-10	50.02
381,2015-02-09	52.86
382,2015-02-06	51.69
383,2015-02-05	50.48
384,2015-02-04	48.45
385,2015-02-03	53.05
386,2015-02-02	49.57
387,2015-01-30	48.24
388,2015-01-29	44.53
389,2015-01-28	44.45
390,2015-01-27	46.23
391,2015-01-26	45.15
392,2015-01-23	45.59
393,2015-01-22	46.31
394,2015-01-21	47.78
395,2015-01-20	46.35
396,2015-01-16	48.69
397,2015-01-15	46.25
398,2015-01-14	48.48
399,2015-01-13	45.89
400,2015-01-12	46.07
401,2015-01-09	48.36
402,2015-01-08	48.79
403,2015-01-07	48.65
404,2015-01-06	47.93
405,2015-01-05	50.04
406,2015-01-02	52.69
407,2014-12-31	53.27
408,2014-12-30	54.12
409,2014-12-29	53.61
410,2014-12-26	54.73
411,2014-12-24	55.84
412,2014-12-23	57.12
413,2014-12-22	55.26
414,2014-12-19	56.5
415,2014-12-18	54.11
416,2014-12-17	56.47
417,2014-12-16	55.93
418,2014-12-15	55.91
419,2014-12-12	57.81
420,2014-12-11	59.95
421,2014-12-10	60.94
422,2014-12-09	63.5
423,2014-12-08	63.05
424,2014-12-05	65.84
425,2014-12-04	66.81
426,2014-12-03	67.38
427,2014-12-02	66.88
428,2014-12-01	66.54
429,2014-11-28	66.15
430,2014-11-26	73.69
431,2014-11-25	74.09
432,2014-11-24	75.78
433,2014-11-21	76.51
434,2014-11-20	75.5
435,2014-11-19	74.58
436,2014-11-18	74.61
437,2014-11-17	75.64
438,2014-11-14	75.82
439,2014-11-13	74.21
440,2014-11-12	77.18
441,2014-11-11	77.94
442,2014-11-10	77.4
443,2014-11-07	78.65
444,2014-11-06	77.67
445,2014-11-05	78.68
446,2014-11-04	77.19
447,2014-11-03	78.9
448,2014-10-31	80.54
449,2014-10-30	81.12
450,2014-10-29	82.2
451,2014-10-28	81.42
452,2014-10-27	81
453,2014-10-24	81.01
454,2014-10-23	82.09
455,2014-10-22	80.52
456,2014-10-21	83.05
457,2014-10-20	82.71
458,2014-10-17	82.75
459,2014-10-16	82.7
460,2014-10-15	81.78
461,2014-10-14	81.84
462,2014-10-13	85.74
463,2014-10-10	85.82
464,2014-10-09	85.77
465,2014-10-08	87.75
466,2014-10-07	88.85
467,2014-10-06	90.34
468,2014-10-03	89.74
469,2014-10-02	91.01
470,2014-10-01	90.65
471,2014-09-30	91
472,2014-09-29	94.5
473,2014-09-26	93.54
