date	close
2014-10-09	85.77
2014-10-08	87.75
2014-10-07	88.85
2014-10-06	90.34
2014-10-03	89.74
2014-10-02	91.01
2014-10-01	90.65
2014-09-30	91
2014-09-29	94.5
2014-09-26	93.54
2014-09-25	92.53
2014-09-24	92.8
2014-09-23	91.56
2014-09-22	91.5
2014-09-19	92.41
2014-09-18	93.07
2014-09-17	94.42
2014-09-16	94.88
2014-09-15	92.92
2014-09-12	92.27
2014-09-11	92.83
2014-09-10	91.5
2014-09-09	93.22
2014-09-08	92.66
2014-09-05	93.29
2014-09-04	94.45
2014-09-03	95.54
2014-09-02	92.88
2014-Aug-29	95.96
2014-Aug-28	94.55
2014-Aug-27	93.88
2014-Aug-26	93.86
2014-Aug-25	93.38
2014-Aug-22	93.65
2014-Aug-21	93.96
2014-Aug-20	96.3
2014-Aug-19	94.48
2014-Aug-18	96.41
2014-Aug-15	97.35
2014-Aug-14	97.2
2014-Aug-13	97.59
2014-Aug-12	97.37
2014-Aug-11	98.08
2014-Aug-08	97.65
2014-Aug-07	97.34
2014-Aug-06	96.92
2014-Aug-05	97.38
2014-Aug-04	98.29
2014-Aug-01	97.85
2014-Jul-31	98.15
2014-Jul-30	100.25
2014-Jul-29	100.97
2014-Jul-28	101.67
2014-Jul-25	102.09
2014-Jul-24	102.07
2014-Jul-23	103.02
2014-Jul-22	104.3
2014-Jul-21	104.59
2014-Jul-18	103.13
2014-Jul-17	103.19
2014-Jul-16	101.2
2014-Jul-15	99.96
2014-Jul-14	100.91
2014-Jul-11	100.83
2014-Jul-10	102.93
2014-Jul-09	102.29
2014-Jul-08	103.4
2014-Jul-07	103.53
2014-Jul-03	104.06
2014-Jul-02	104.48
2014-Jul-01	105.3
2014-Jun-30	105.37
2014-Jun-27	105.74
2014-Jun-26	105.7
2014-Jun-25	106.5
2014-Jun-24	106.03
2014-Jun-23	106.17
2014-Jun-20	107.3
2014-Jun-19	106.43
2014-Jun-18	105.97
2014-Jun-17	106.36
2014-Jun-16	107.03
