,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
5695,Southwest Airlines Co.,"('LGA', 'STL')","('New York, NY', 'St. Louis, MO')",888.0,2.116182572614108,122.44477869986186,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5696,Southwest Airlines Co.,"('LGB', 'OAK')","('Long Beach, CA', 'Oakland, CA')",353.0,0.26,1.3256565656565658,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5697,Southwest Airlines Co.,"('LIT', 'DAL')","('Little Rock, AR', 'Dallas, TX')",296.0,3.0154440154440154,476.92224117805563,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5698,Southwest Airlines Co.,"('LIT', 'LAS')","('Little Rock, AR', 'Las Vegas, NV')",1294.0,1.3186813186813189,30.641758241758232,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5699,Southwest Airlines Co.,"('LIT', 'PHX')","('Little Rock, AR', 'Phoenix, AZ')",1136.0,1.3846153846153846,41.7059829059829,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5700,Southwest Airlines Co.,"('LIT', 'STL')","('Little Rock, AR', 'St. Louis, MO')",296.0,7.165680473372781,1788.9485770639646,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5701,Southwest Airlines Co.,"('MAF', 'DAL')","('Midland/Odessa, TX', 'Dallas, TX')",319.0,1.131578947368421,67.76921620598256,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5702,Southwest Airlines Co.,"('MAF', 'HOU')","('Midland/Odessa, TX', 'Houston, TX')",441.0,2.489539748953975,176.39379768643857,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5703,Southwest Airlines Co.,"('MAF', 'LAS')","('Midland/Odessa, TX', 'Las Vegas, NV')",795.0,8.38,1140.4399999999996,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5704,Southwest Airlines Co.,"('MCI', 'ABQ')","('Kansas City, MO', 'Albuquerque, NM')",718.0,3.292134831460674,214.1182328907048,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
5705,Southwest Airlines Co.,"('MCI', 'ATL')","('Kansas City, MO', 'Atlanta, GA')",692.0,2.4606299212598426,258.33638853443716,6.8,3.5,2.5,2.6,2.8,3.4,"low cost, non stop, crew/staff friendly, early bird, bags fly free",<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>,"('<img src=http://milestomemories.boardingarea.com/wp-content/uploads/2013/12/southwest-logo.jpg>', 'low cost, non stop, crew/staff friendly, early bird, bags fly free')"
