,UNIQUE_CARRIER,arr_delay_var,carrier_delay%,cancellation%,airline_name,airport_routes,city_coutes,distance,average_delay_minutes,flight_counts,delay_var_minutes
3496,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SAT', 'DEN')","('San Antonio, TX', 'Denver, CO')",794.0,4.489795918367347,49.0,288.88010204081644
3497,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SAT', 'LAS')","('San Antonio, TX', 'Las Vegas, NV')",1069.0,3.4761904761904763,21.0,153.06190476190474
3498,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SAT', 'PHL')","('San Antonio, TX', 'Philadelphia, PA')",1496.0,2.2142857142857144,28.0,111.8042328042328
3499,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SEA', 'CLE')","('Seattle, WA', 'Cleveland, OH')",2021.0,6.159090909090909,44.0,1084.5554968287524
3500,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SEA', 'DEN')","('Seattle, WA', 'Denver, CO')",1024.0,0.978021978021978,182.0,13.612773966365129
3501,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SEA', 'ORD')","('Seattle, WA', 'Chicago, IL')",1721.0,0.30303030303030304,33.0,3.0303030303030294
3502,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SEA', 'PHX')","('Seattle, WA', 'Phoenix, AZ')",1107.0,5.0,1.0,
3503,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SFO', 'ATL')","('San Francisco, CA', 'Atlanta, GA')",2139.0,0.022727272727272728,44.0,0.02272727272727272
3504,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SFO', 'CLE')","('San Francisco, CA', 'Cleveland, OH')",2161.0,0.11363636363636363,44.0,0.2891120507399577
3505,F9,2044.176598942666,92.47712688000684,0.24187975120939878,Frontier Airlines Inc.,"('SFO', 'CVG')","('San Francisco, CA', 'Cincinnati, OH')",2036.0,1.088235294117647,34.0,15.598039215686278
