,Airline Name,Airports,Cities,Distance,Average Delay (min),Variance of Delays (min),Overall,Cabin,Entertainment,Wifi,Food/Beverage,Bang for Buck,Topics Extract,url,for_html
2350,Frontier Airlines Inc.,"('DSM', 'DEN')","('Des Moines, IA', 'Denver, CO')",589,4.9,423.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2351,Frontier Airlines Inc.,"('DTW', 'DEN')","('Detroit, MI', 'Denver, CO')",1123,0.5,4.8,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2352,Frontier Airlines Inc.,"('DTW', 'MCO')","('Detroit, MI', 'Orlando, FL')",957,2.8,190.4,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2353,Frontier Airlines Inc.,"('DTW', 'PHX')","('Detroit, MI', 'Phoenix, AZ')",1671,2.9,178.3,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2354,Frontier Airlines Inc.,"('DTW', 'RSW')","('Detroit, MI', 'Fort Myers, FL')",1084,8.0,192.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2355,Frontier Airlines Inc.,"('DTW', 'TTN')","('Detroit, MI', 'Trenton, NJ')",464,2.2,104.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2356,Frontier Airlines Inc.,"('FLL', 'TTN')","('Fort Lauderdale, FL', 'Trenton, NJ')",1026,11.9,7121.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2357,Frontier Airlines Inc.,"('FSD', 'DEN')","('Sioux Falls, SD', 'Denver, CO')",483,0.1,0.4,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2358,Frontier Airlines Inc.,"('GSO', 'DEN')","('Greensboro/High Point, NC', 'Denver, CO')",1370,1.0,26.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2359,Frontier Airlines Inc.,"('IAD', 'DEN')","('Washington, DC', 'Denver, CO')",1452,0.3,5.9,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2360,Frontier Airlines Inc.,"('IAD', 'MCO')","('Washington, DC', 'Orlando, FL')",758,4.9,495.8,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2361,Frontier Airlines Inc.,"('IAD', 'ORD')","('Washington, DC', 'Chicago, IL')",588,3.1,108.1,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2362,Frontier Airlines Inc.,"('IAH', 'ATL')","('Houston, TX', 'Atlanta, GA')",689,1.7,76.3,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2363,Frontier Airlines Inc.,"('IAH', 'CVG')","('Houston, TX', 'Cincinnati, OH')",871,7.1,1416.5,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2364,Frontier Airlines Inc.,"('IAH', 'DEN')","('Houston, TX', 'Denver, CO')",862,5.0,1227.7,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2365,Frontier Airlines Inc.,"('IAH', 'LAS')","('Houston, TX', 'Las Vegas, NV')",1222,3.3,192.5,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2366,Frontier Airlines Inc.,"('IAH', 'SFO')","('Houston, TX', 'San Francisco, CA')",1635,2.7,73.4,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2367,Frontier Airlines Inc.,"('IND', 'ATL')","('Indianapolis, IN', 'Atlanta, GA')",432,0.0,0.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2368,Frontier Airlines Inc.,"('IND', 'DEN')","('Indianapolis, IN', 'Denver, CO')",977,0.0,0.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2369,Frontier Airlines Inc.,"('IND', 'MCO')","('Indianapolis, IN', 'Orlando, FL')",829,4.0,553.7,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2370,Frontier Airlines Inc.,"('IND', 'PHL')","('Indianapolis, IN', 'Philadelphia, PA')",588,0.0,0.0,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2371,Frontier Airlines Inc.,"('IND', 'RSW')","('Indianapolis, IN', 'Fort Myers, FL')",945,0.3,0.3,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
2372,Frontier Airlines Inc.,"('LAS', 'ATL')","('Las Vegas, NV', 'Atlanta, GA')",1747,5.5,450.8,4.1,2.3,1.4,1.0,1.3,2.2,"low cost, staff friendly, pay extra, bags charge","<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">","('<img src=http://cf.juggle-images.com/matte/white/280x280/frontier-airlines-2-logo-primary.jpg""style=width: 80%; height: 80%/"">', 'low cost, staff friendly, pay extra, bags charge')"
