date	close
14-Aug-15	42.18
17-Aug-15	41.88
18-Aug-15	42.37
19-Aug-15	40.55
20-Aug-15	40.94
21-Aug-15	40.29
24-Aug-15	38.06
25-Aug-15	39.64
26-Aug-15	38.88
27-Aug-15	42.78
28-Aug-15	45.33
31-Aug-15	48.16
1-Sep-15	44.19
2-Sep-15	46.05
3-Sep-15	46.69
4-Sep-15	45.77
8-Sep-15	45.73
9-Sep-15	44.11
10-Sep-15	45.73
11-Sep-15	44.78
14-Sep-15	44.12
15-Sep-15	45.15
16-Sep-15	47.13
17-Sep-15	46.9
18-Sep-15	44.98
21-Sep-15	46.48
22-Sep-15	46.17
23-Sep-15	44.61
24-Sep-15	45.1
25-Sep-15	45.34
28-Sep-15	44.48
29-Sep-15	44.89
30-Sep-15	45.34
1-Oct-15	45.02
2-Oct-15	45.66
5-Oct-15	46.2
6-Oct-15	49.04
7-Oct-15	48.13
8-Oct-15	49.67
9-Oct-15	49.49
12-Oct-15	47.44
13-Oct-15	46.57
14-Oct-15	46.29
15-Oct-15	46.86
16-Oct-15	47.26
19-Oct-15	46.19
20-Oct-15	45.84
21-Oct-15	45.26
22-Oct-15	45.49
23-Oct-15	44.73
26-Oct-15	43.73
27-Oct-15	43.39
28-Oct-15	46.17
29-Oct-15	45.75
30-Oct-15	46.39
2-Nov-15	46.08
3-Nov-15	47.68
4-Nov-15	46.58
5-Nov-15	45.39
6-Nov-15	44.52
9-Nov-15	44.11
10-Nov-15	43.63
11-Nov-15	43.07
12-Nov-15	41.6
13-Nov-15	40.73
16-Nov-15	42.04
17-Nov-15	41.11
18-Nov-15	40.67
19-Nov-15	40.49
20-Nov-15	39.39
23-Nov-15	42.01
24-Nov-15	42.65
25-Nov-15	43.2
27-Nov-15	41.77
30-Nov-15	41.68
1-Dec-15	41.65
2-Dec-15	40.1
3-Dec-15	41.27
4-Dec-15	40.14
7-Dec-15	37.63
8-Dec-15	37.85
9-Dec-15	37.21
10-Dec-15	36.57
11-Dec-15	35.35
14-Dec-15	36.27
15-Dec-15	36.74
16-Dec-15	35.74
17-Dec-15	34.82
18-Dec-15	34.55
21-Dec-15	34.66
22-Dec-15	36.47
23-Dec-15	37.89
24-Dec-15	38.12
28-Dec-15	36.69
29-Dec-15	37.33
30-Dec-15	36.83
31-Dec-15	37.07
4-Jan-16	36.88
5-Jan-16	36.14
6-Jan-16	34.06
7-Jan-16	33.26
8-Jan-16	32.88
11-Jan-16	31.13
12-Jan-16	30.58
13-Jan-16	30.56
14-Jan-16	31.21
15-Jan-16	29.7
19-Jan-16	28.28
20-Jan-16	26.76
21-Jan-16	29.85
22-Jan-16	32.25
25-Jan-16	29.8
26-Jan-16	30.51
27-Jan-16	32.16
28-Jan-16	33.72
29-Jan-16	33.74
1-Feb-16	31.32
2-Feb-16	29.71
3-Feb-16	32.75
4-Feb-16	31.69
